uuid,ocdid,state,name
0b005257-3323-562b-ad01-6315ae871d99,ocd-division/country:us/state:wa/county:cowlitz/council_district:3,wa,Cowlitz County District 3
496f7d53-b425-5469-bfe3-b3490c6ea2d3,ocd-division/country:us/state:wa/county:douglas/council_district:1,wa,Douglas County District 1
1353fc34-0489-5123-a4b1-1d4104c26a02,ocd-division/country:us/state:wa/county:douglas/council_district:2,wa,Douglas County District 2
e882b057-0eef-5846-ba0a-9b50248dff97,ocd-division/country:us/state:wa/county:douglas/council_district:3,wa,Douglas County District 3
cb491f70-997e-5afb-aec8-061cf10c7eab,ocd-division/country:us/state:wa/county:ferry/council_district:1,wa,Ferry County District 1
88234747-1ebf-510c-938f-bb2f7a9cc2c1,ocd-division/country:us/state:wa/county:ferry/council_district:2,wa,Ferry County District 2
4abf11d0-8c0b-59e3-aea0-f955121d7e28,ocd-division/country:us/state:wa/county:ferry/council_district:3,wa,Ferry County District 3
a5c3e439-aa9d-5660-bcb7-5652f282bebb,ocd-division/country:us/state:wa/county:franklin/council_district:1,wa,Franklin County District 1
1e52febb-0eb8-5718-b330-050a8574a580,ocd-division/country:us/state:wa/county:franklin/council_district:2,wa,Franklin County District 2
df1ed78b-e598-5c31-8ca3-273b07f9d28a,ocd-division/country:us/state:wa/county:franklin/council_district:3,wa,Franklin County District 3
668f76de-ec98-56e5-a060-216800a1d731,ocd-division/country:us/state:wa/county:garfield/council_district:1,wa,Garfield County District 1
75d23321-41cb-56b2-820b-e85b0d9103af,ocd-division/country:us/state:wa/county:garfield/council_district:2,wa,Garfield County District 2
72737a8e-c9d6-5e21-9691-dbdac3c09756,ocd-division/country:us/state:wa/county:garfield/council_district:3,wa,Garfield County District 3
a21c1193-a5c9-54d7-ac95-df2865d65da1,ocd-division/country:us/state:wa/county:grant/council_district:1,wa,Grant County District 1
5e17ba60-406d-5f9e-af64-6b930857ad7f,ocd-division/country:us/state:wa/county:grant/council_district:2,wa,Grant County District 2
bc1fc6b6-2527-5910-a98d-4fbbaf388f96,ocd-division/country:us/state:wa/county:grant/council_district:3,wa,Grant County District 3
2d153eaf-ca3b-5bf3-a132-1064619b2007,ocd-division/country:us/state:wa/county:grays_harbor/council_district:1,wa,Grays Harbor County District 1
c0c72c70-1234-5ec7-889a-edc7504174c6,ocd-division/country:us/state:wa/county:grays_harbor/council_district:2,wa,Grays Harbor County District 2
303e8db8-fbfc-55fb-bdad-e775e606f9a7,ocd-division/country:us/state:wa/county:grays_harbor/council_district:3,wa,Grays Harbor County District 3
7f0d944a-8411-5f49-a1e5-d57eba2aabbc,ocd-division/country:us/state:wa/county:island/council_district:1,wa,Island County District 1
b3be925f-ef90-566b-a04a-8f039d5865b8,ocd-division/country:us/state:wa/county:island/council_district:2,wa,Island County District 2
495b01ba-3eb3-58b4-9426-d09343a03595,ocd-division/country:us/state:wa/county:island/council_district:3,wa,Island County District 3
fa110dd1-d3de-5de5-ba5a-693c89882f48,ocd-division/country:us/state:wa/county:jefferson/council_district:1,wa,Jefferson County District 1
1625ae5a-9036-5f7b-a485-a346eb4be2b9,ocd-division/country:us/state:wa/county:jefferson/council_district:2,wa,Jefferson County District 2
f3d41c85-0430-5bd8-9d18-e4b152094475,ocd-division/country:us/state:wa/county:jefferson/council_district:3,wa,Jefferson County District 3
862cf975-3cc4-50f3-bef7-fd7a22996818,ocd-division/country:us/state:wa/county:king/council_district:1,wa,King County WA County Council District 1
dc595562-4e2f-5c38-b304-53b55b38a211,ocd-division/country:us/state:wa/county:king/council_district:2,wa,King County WA County Council District 2
